Abjurer
Acrobat
Adventurer
Aeromancer
Aeronaut
Alchemist
Alienist
Animist
Antihero
Apothecary
Arbalester
Arbiter
Arcanist
Archeologist
Archer
Armiger
Armorer
Artificer
Assassin
Astrologer
Avenger
Bandit
Barbarian
Bard
Battlemage
Beastlord
Beastrider
Beguiler
Berserker
Binder
Bishop
Blackguard
Blacksmith
Bladesinger
Blighter
Bloodmage
Bravo
Brawler
Brewmeister
Brigand
Cavalier
Cavalryman
Cestus
Champion
Channeler
Charioteer
Chevalier
Chirurgeon
Chronomancer
Cleric
Conjurer
Corsair
Crossbowman
Crusader
Cursebearer
Deathknight
Defender
Demolitionist
Demoniac
Dervish
Diabolist
Diplomat
Dirgesinger
Diviner
Djinncaller
Doomsayer
Dragonrider
Dragoon
Dreadnaught
Dreamwalker
Druid
Duelist
Earthspeaker
Elementalist
Empath
Enchanter
Engineer
Evoker
Executioner
Exile
Exorcist
Explorer
Falconer
Fearmonger
Fencer
Fighter
Firedancer
Fleshwarper
Forrester
Frostmage
Fusilier
Gadgeteer
Geomancer
Gladiator
Grappler
Gravecaller
Guardian
Guerilla
Gunslinger
Gypsy
Harbinger
Harrier
Haruspex
Healer
Heirophant
Herald
Herbalist
Hermit
Hero
Hexmage
Highwayman
Hivemaster
Hoodwink
Hospitalier
Houndmaster
Hunter
Hydromancer
Hymnist
Hypnotist
Illusionist
Incanter
Infiltrator
Inquisitor
Invoker
Jester
Jinx
Juggernaut
Justicar
Kensai
Knight
Lancer
Lasher
Legionnaire
Lich
Lightbringer
Machinist
Mageknight
Magician
Magus
Malefactor
Malus
Maniac
Marauder
Mariner
Marshal
Masque
Mastermind
Medium
Mentalist
Mercenary
Merchant
Mindbender
Miner
Minstrel
Monk
Mountaineer
Musketeer
Mysterion
Mystic
Necromancer
Nethermancer
Ninja
Noble
Nomad
Occultist
Oracle
Outcast
Outlaw
Outrider
Paladin
Paragon
Pathfinder
Piper
Pirate
Plaguemancer
Planeswalker
Poisoner
Priest
Prophet
Psionicist
Psychic
Pugilist
Pyromancer
Qabalist
Raider
Raindancer
Rake
Ranger
Ratcatcher
Reaver
Riddler
Rifleman
Ritualist
Rogue
Ronin
Royal
Runic
Saboteur
Sage
Saint
Samurai
Sandman
Sapper
Savage
Savant
Scavenger
Scholar
Scout
Scrier
Seasinger
Sensei
Sentinel
Shadowmancer
Shaman
Shapeshifter
Sheriff
Shieldbearer
Sibyl
Siegemaster
Siren
Skald
Skirmisher
Skycaptain
Slavemaster
Slayer
Slimelord
Sneak
Sniper
Soldier
Soothsayer
Sorcerer
Soulblade
Spearman
Spellbinder
Spellbreaker
Spellknife
Spiritualist
Spy
Stalker
Stormlord
Strategist
Strider
Summoner
Swashbuckler
Swordsman
Tactician
Taskmaster
Telepath
Templar
Thaumaturgist
Theurge
Thief
Thrall
Tinkerer
Tormentor
Totemist
Transmogrifist
Transmuter
Trapsmith
Trickster
Ur-Priest
Valkyrie
Vanguard
Viking
Vindicator
Vizier
Voidcaller
Wanderer
Warden
Warlock
Warlord
Warpriest
Warrior
Weaponmaster
Wilder
Windcaller
Witch
Witchdoctor
Wizard
Wonderworker
Wormtongue
Wyrd
Wyrmcaller
Zealot
Anti-paladin
Lurk
Psion
Soulknife
Myrmydon
Soulknife
Sohei
Inkyo
Oathsworn
Mage-Blade
Harrier
Survivor
Algai'd'siswai
Defender
Combatant
Pursuer
Scoundrel
Lasserator
Beguiler
Deathmaster
Duskblade
Hexblade
Spellthief
Psithief
Incarnate
Shukenja
Kensai
Aegis
Angakkuq
Angler
Aquanaut
Cryptic
Dread
Kahuna
Marksman
Vitalist
Abbot
Aethernaut
Archmage
Bookbinder
Bounty Hunter
Cartographer
Centurian
Charlatan
Chasseur 
Constabulary
Consular
Crimelord
Demagogue
Demonologist
Disciple
Dragonslayer
Grave Robber
Hedge Mage
Impersonator
Information Broker
Investigator
Kidnapper
Martial Artist
Meretrix
Mesmerist
Oceaneer
Percamenarius
Privateer
Runecarver
Scribe
Slaver
Snakecharmer
Theocrat
Tribesman
Vigilante
Whoremaster
Truenamer
Xi Monk
xtremist
Yoyoist
yoloist
Canidae
Felidae
Cat
Cattle
Dog
Donkey
Goat
Guinea pig
Horse
Pig
Rabbit
Fancy rat varieties
laboratory rat strains
Sheep breeds
Water buffalo breeds
Chicken breeds
Duck breeds
Goose breeds
Pigeon breeds
Turkey breeds
Aardvark
Aardwolf
African buffalo
African elephant
African leopard
Albatross
Alligator
Alpaca
American buffalo (bison)
American robin
Amphibian
list
Anaconda
Angelfish
Anglerfish
Ant
Anteater
Antelope
Antlion
Ape
Aphid
Arabian leopard
Arctic Fox
Arctic Wolf
Armadillo
Arrow crab
Asp
Ass (donkey)
Baboon
Badger
Bald eagle
Bandicoot
Barnacle
Barracuda
Basilisk
Bass
Bat
Beaked whale
Bear
list
Beaver
Bedbug
Bee
Beetle
Bird
list
Bison
Blackbird
Black panther
Black widow spider
Blue bird
Blue jay
Blue whale
Boa
Boar
Bobcat
Bobolink
Bonobo
Booby
Box jellyfish
Bovid
Buffalo, African
Buffalo, American (bison)
Bug
Butterfly
Buzzard
Camel
Canid
Cape buffalo
Capybara
Cardinal
Caribou
Carp
Cat
list
Catshark
Caterpillar
Catfish
Cattle
list
Centipede
Cephalopod
Chameleon
Cheetah
Chickadee
Chicken
list
Chimpanzee
Chinchilla
Chipmunk
Clam
Clownfish
Cobra
Cockroach
Cod
Condor
Constrictor
Coral
Cougar
Cow
Coyote
Crab
Crane
Crane fly
Crawdad
Crayfish
Cricket
Crocodile
Crow
Cuckoo
Cicada
Damselfly
Deer
Dingo
Dinosaur
list
Dog
list
Dolphin
Donkey
list
Dormouse
Dove
Dragonfly
Dragon
Duck
list
Dung beetle
Eagle
Earthworm
Earwig
Echidna
Eel
Egret
Elephant
Elephant seal
Elk
Emu
English pointer
Ermine
Falcon
Ferret
Finch
Firefly
Fish
Flamingo
Flea
Fly
Flyingfish
Fowl
Fox
Frog
Fruit bat
Gamefowl
list
Galliform
list
Gazelle
Gecko
Gerbil
Giant panda
Giant squid
Gibbon
Gila monster
Giraffe
Goat
list
Goldfish
Goose
list
Gopher
Gorilla
Grasshopper
Great blue heron
Great white shark
Grizzly bear
Ground shark
Ground sloth
Grouse
Guan
list
Guanaco
Guineafowl
list
Guinea pig
list
Gull
Guppy
Haddock
Halibut
Hammerhead shark
Hamster
Hare
Harrier
Hawk
Hedgehog
Hermit crab
Heron
Herring
Hippopotamus
Hookworm
Hornet
Horse
list
Hoverfly
Hummingbird
Humpback whale
Hyena
Iguana
Impala
Irukandji jellyfish
Jackal
Jaguar
Jay
Jellyfish
Junglefowl
Kangaroo
Kangaroo mouse
Kangaroo rat
Kingfisher
Kite
Kiwi
Koala
Koi
Komodo dragon
Krill
Ladybug
Lamprey
Landfowl
Land snail
Lark
Leech
Lemming
Lemur
Leopard
Leopon
Limpet
Lion
Lizard
Llama
Lobster
Locust
Loon
Louse
Lungfish
Lynx
Macaw
Mackerel
Magpie
Mammal
Manatee
Mandrill
Manta ray
Marlin
Marmoset
Marmot
Marsupial
Marten
Mastodon
Meadowlark
Meerkat
Mink
Minnow
Mite
Mockingbird
Mole
Mollusk
Mongoose
Monitor lizard
Monkey
Moose
Mosquito
Moth
Mountain goat
Mouse
Mule
Muskox
Narwhal
Newt
New World quail
Nightingale
Ocelot
Octopus
Old World quail
Opossum
Orangutan
Orca
Ostrich
Otter
Owl
Ox
Panda
Panther
Panthera hybrid
Parakeet
Parrot
Parrotfish
Partridge
Peacock
Peafowl
Pelican
Penguin
Perch
Peregrine falcon
Pheasant
Pig
Pigeon
list
Pike
Pilot whale
Pinniped
Piranha
Planarian
Platypus
Polar bear
Pony
Porcupine
Porpoise
Portuguese man o' war
Possum
Prairie dog
Prawn
Praying mantis
Primate
Ptarmigan
Puffin
Puma
Python
Quail
Quelea
Quokka
Rabbit
list
Raccoon
Rainbow trout
Rat
Rattlesnake
Raven
Ray (Batoidea)
Ray (Rajiformes)
Red panda
Reindeer
Reptile
Rhinoceros
Right whale
Roadrunner
Rodent
Rook
Rooster
Roundworm
Saber-toothed cat
Sailfish
Salamander
Salmon
Sawfish
Scale insect
Scallop
Scorpion
Seahorse
Sea lion
Sea slug
Sea snail
Shark
list
Sheep
list
Shrew
Shrimp
Silkworm
Silverfish
Skink
Skunk
Sloth
Slug
Smelt
Snail
Snake
list
Snipe
Snow leopard
Sockeye salmon
Sole
Sparrow
Sperm whale
Spider
Spider monkey
Spoonbill
Squid
Squirrel
Starfish
Star-nosed mole
Steelhead trout
Stingray
Stoat
Stork
Sturgeon
Sugar glider
Swallow
Swan
Swift
Swordfish
Swordtail
Tahr
Takin
Tapir
Tarantula
Tarsier
Tasmanian devil
Termite
Tern
Thrush
Tick
Tiger
Tiger shark
Tiglon
Toad
Tortoise
Toucan
Trapdoor spider
Tree frog
Trout
Tuna
Turkey
list
Turtle
Tyrannosaurus
Urial
Vampire bat
Vampire squid
Vicuna
Viper
Vole
Vulture
Wallaby
Walrus
Wasp
Warbler
Water Boa
Water buffalo
Weasel
Whale
Whippet
Whitefish
Whooping crane
Wildcat
Wildebeest
Wildfowl
Wolf
Wolverine
Wombat
Woodpecker
Worm
Wren
Xerinae
X-ray fish
Yak
Yellow perch
Zebra
Zebra finch
Animals by number of neurons
Animals by size
Common household pests
Common names of poisonous animals
Alpaca
Bali cattle
Cat
Cattle
Chicken
Dog
Domestic Bactrian camel
Domestic canary
Domestic dromedary camel
Domestic duck
Domestic goat
